address,property_type,area_name,municipality,is_savedalen,sale_type,sold_date,year,month,final_price_sek,asking_price_sek,price_change_sek,price_change_percent,living_area_m2,extra_area_m2,rooms,plot_area_m2,price_per_m2,bid_change_percent,source_url,source_text
Edgångsvägen 21,Villa,Skulltorp,Partille,no,Lagfart,2025-07-21,2025,7,6000000,,,,161.0,35.0,6.0,652.0,37300.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Edgångsvägen 21 Villa · Skulltorp · Partille 6 000 000 kr 161 + 35 m² 6 rum 652 m² tomt 37 300 kr/m² Eldstad 2025-07-21
Lidegårdsvägen 9,Kedjehus,Partille kommun,Partille,no,Lagfart,2025-09-05,2025,9,5000000,,,,169.0,,,424.0,29600.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Lidegårdsvägen 9 Kedjehus · Partille kommun · Partille 5 000 000 kr 169 m² 424 m² tomt 29 600 kr/m² 2025-09-05
Ulvåsvägen 11,Kedjehus,Partille kommun,Partille,no,Lagfart,2025-09-05,2025,9,5400000,,,,135.0,10.0,,455.0,40000.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Ulvåsvägen 11 Kedjehus · Partille kommun · Partille 5 400 000 kr 135 + 10 m² 455 m² tomt 40 000 kr/m² 2025-09-05
Brase-Emmas väg 32,Villa,Partille kommun,Partille,no,Lagfart,2025-09-05,2025,9,4100000,3996000.0,104000.0,2.6,,,,650.0,,2.6,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Brase-Emmas väg 32 Villa · Partille kommun · Partille 4 100 000 kr 650 m² tomt 2025-09-05 +2,6%"
Föreningsvägen 3,Villa,Sävedalen,Partille,yes,Lagfart,2025-05-21,2025,5,8850000,7558000.0,1292000.0,17.1,175.0,102.0,7.0,1008.0,50600.0,17.1,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Föreningsvägen 3 Villa · Sävedalen · Partille 8 850 000 kr 175 + 102 m² 7 rum 1 008 m² tomt 50 600 kr/m² 2025-05-21 +17,1%"
Ugglebäcksliden 8,Villa,Öjersjö,Partille,no,Lagfart,2025-03-30,2025,3,12000000,,,,170.0,39.0,6.0,1046.0,70600.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Ugglebäcksliden 8 Villa · Öjersjö · Partille 12 000 000 kr 170 + 39 m² 6 rum 1 046 m² tomt 70 600 kr/m² Balkong Eldstad 2025-03-30
Furuliden 6A,Villa,Sävedalen,Partille,yes,Lagfart,2025-06-11,2025,6,7700000,7216000.0,484000.0,6.7,126.0,37.0,6.0,680.0,61100.0,6.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Furuliden 6A Villa · Sävedalen · Partille 7 700 000 kr 126 + 37 m² 6 rum 680 m² tomt 61 100 kr/m² 2025-06-11 +6,7%"
Rävstigen 18,Villa,Öjersjö,Partille,no,Lagfart,2025-05-19,2025,5,12000000,,,,200.0,,5.0,1172.0,60000.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Rävstigen 18 Villa · Öjersjö · Partille 12 000 000 kr 200 m² 5 rum 1 172 m² tomt 60 000 kr/m² 2025-05-19
Karis Lycka 3,Villa,Öjersjö,Partille,no,Lagfart,2025-05-10,2025,5,6920000,6798000.0,122000.0,1.8,105.0,,5.0,2280.0,65900.0,1.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Karis Lycka 3 Villa · Öjersjö · Partille 6 920 000 kr 105 m² 5 rum 2 280 m² tomt 65 900 kr/m² Eldstad 2025-05-10 +1,8%"
Första Villavägen 11,Villa,Puketorp,Partille,no,Lagfart,2025-05-07,2025,5,7000000,7202000.0,-202000.0,-2.8,125.0,65.0,6.0,652.0,56000.0,-2.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Första Villavägen 11 Villa · Puketorp · Partille 7 000 000 kr 125 + 65 m² 6 rum 652 m² tomt 56 000 kr/m² Eldstad Uteplats 2025-05-07 -2,8%"
Skogsduvevägen 26,Radhus,Furulund,Partille,no,Lagfart,2025-05-02,2025,5,5200000,5394000.0,-194000.0,-3.6,144.0,,5.0,317.0,36100.0,-3.6,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Skogsduvevägen 26 Radhus · Furulund · Partille 5 200 000 kr 144 m² 5 rum 317 m² tomt 36 100 kr/m² 2025-05-02 -3,6%"
Jennyhillsvägen 3E,Radhus,Mellby,Partille,no,Lagfart,2025-04-18,2025,4,4620000,,,,121.0,2.0,6.0,173.0,38200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Jennyhillsvägen 3E Radhus · Mellby · Partille 4 620 000 kr 121 + 2 m² 6 rum 173 m² tomt 38 200 kr/m² 2025-04-18
Blankavägen 16,Villa,Partille kommun,Partille,no,Lagfart,2025-09-01,2025,9,8200000,,,,114.0,70.0,,667.0,71900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Blankavägen 16 Villa · Partille kommun · Partille 8 200 000 kr 114 + 70 m² 667 m² tomt 71 900 kr/m² 2025-09-01
Södra Hagevägen 18,Villa,Härlanda,Partille,no,Lagfart,2025-06-11,2025,6,8800000,,,,154.0,8.0,5.0,927.0,57100.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Södra Hagevägen 18 Villa · Härlanda · Partille 8 800 000 kr 154 + 8 m² 5 rum 927 m² tomt 57 100 kr/m² Balkong 2025-06-11
Femte Villavägen 6,Villa,Partille kommun,Partille,no,Lagfart,2025-08-29,2025,8,8035000,,,,122.0,120.0,5.0,708.0,65900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Femte Villavägen 6 Villa · Partille kommun · Partille 8 035 000 kr 122 + 120 m² 5 rum 708 m² tomt 65 900 kr/m² 2025-08-29
Hubertusvägen 11D,Radhus,Partille Centrum,Partille,no,Slutpris,2025-08-28,2025,8,3350000,,,,74.0,36.0,4.0,,45300.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Slutpris Hubertusvägen 11D Radhus · Partille Centrum · Partille 3 350 000 kr 74 + 36 m² 4 rum 45 300 kr/m² Eldstad Uteplats 2025-08-28
Kvastekullavägen 18A,Villa,Partille kommun,Partille,no,Lagfart,2025-08-28,2025,8,6150000,,,,75.0,45.0,,1265.0,82000.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Kvastekullavägen 18A Villa · Partille kommun · Partille 6 150 000 kr 75 + 45 m² 1 265 m² tomt 82 000 kr/m² 2025-08-28
Friggavägen 14,Villa,Sävedalen,Partille,yes,Slutpris,2025-08-25,2025,8,8300000,8121000.0,179000.0,2.2,148.0,32.0,6.0,1292.0,56100.0,2.2,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Slutpris Friggavägen 14 Villa · Sävedalen · Partille 8 300 000 kr 148 + 32 m² 6 rum 1 292 m² tomt 56 100 kr/m² Eldstad 2025-08-25 +2,2%"
Gullringsvägen 31,Villa,Ugglum,Partille,no,Slutpris,2025-08-21,2025,8,7150000,,,,104.0,65.0,7.0,835.0,68800.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Slutpris Gullringsvägen 31 Villa · Ugglum · Partille 7 150 000 kr 104 + 65 m² 7 rum 835 m² tomt 68 800 kr/m² 2025-08-21
Skogsduvevägen 38,Villa,Partille kommun,Partille,no,Lagfart,2025-08-21,2025,8,2900000,2980000.0,-80000.0,-2.7,58.0,54.0,,1018.0,50000.0,-2.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Skogsduvevägen 38 Villa · Partille kommun · Partille 2 900 000 kr 58 + 54 m² 1 018 m² tomt 50 000 kr/m² 2025-08-21 -2,7%"
Korsängen 39,Radhus,Sävedalen,Partille,yes,Lagfart,2025-05-13,2025,5,5350000,4931000.0,419000.0,8.5,117.0,30.0,5.0,148.0,45700.0,8.5,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Korsängen 39 Radhus · Sävedalen · Partille 5 350 000 kr 117 + 30 m² 5 rum 148 m² tomt 45 700 kr/m² Uteplats 2025-05-13 +8,5%"
Stensvägen 18,Villa,Sävedalen,Partille,yes,Lagfart,2025-04-10,2025,4,8575000,,,,195.0,90.0,8.0,895.0,44000.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Stensvägen 18 Villa · Sävedalen · Partille 8 575 000 kr 195 + 90 m² 8 rum 895 m² tomt 44 000 kr/m² 2025-04-10
Kullegärdet 52,Radhus,Södra Sävedalen,Partille,yes,Lagfart,2025-04-30,2025,4,5800000,5431000.0,369000.0,6.8,132.0,,5.0,175.0,43900.0,6.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Kullegärdet 52 Radhus · Södra Sävedalen · Partille 5 800 000 kr 132 m² 5 rum 175 m² tomt 43 900 kr/m² Uteplats 2025-04-30 +6,8%"
Morkullesträcket 79,Parhus,Furulund,Partille,no,Lagfart,2025-04-16,2025,4,5550000,5479000.0,71000.0,1.3,121.0,20.0,6.0,300.0,45900.0,1.3,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Morkullesträcket 79 Parhus · Furulund · Partille 5 550 000 kr 121 + 20 m² 6 rum 300 m² tomt 45 900 kr/m² Balkong 2025-04-16 +1,3%"
Adress saknas,Villa,Sävedalen,Partille,yes,Slutpris,2025-08-15,2025,8,7600000,7933000.0,-333000.0,-4.2,149.0,74.0,7.0,983.0,51000.0,-4.2,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Slutpris Adress saknas Villa · Sävedalen · Partille 7 600 000 kr 149 + 74 m² 7 rum 983 m² tomt 51 000 kr/m² Uteplats 2025-08-15 -4,2%"
Fägatan 4,Radhus,Öjersjö,Partille,no,Slutpris,2025-08-15,2025,8,4500000,,,,122.6,,5.0,,36700.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Slutpris Fägatan 4 Radhus · Öjersjö · Partille 4 500 000 kr 122,6 m² 5 rum 36 700 kr/m² Uteplats 2025-08-15"
Skulebergsvägen 31B,Villa,Furuskog,Partille,no,Lagfart,2025-05-07,2025,5,8500000,8577000.0,-77000.0,-0.9,190.0,40.0,7.0,990.0,44700.0,-0.9,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Lagfart Skulebergsvägen 31B Villa · Furuskog · Partille 8 500 000 kr 190 + 40 m² 7 rum 990 m² tomt 44 700 kr/m² Balkong 2025-05-07 -0,9%"
Ensittarevägen 23,Villa,Furuskog,Partille,no,Lagfart,2025-05-14,2025,5,5150000,5150000.0,0.0,0.0,161.0,,7.0,485.0,32000.0,0.0,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Ensittarevägen 23 Villa · Furuskog · Partille 5 150 000 kr 161 m² 7 rum 485 m² tomt 32 000 kr/m² Uteplats 2025-05-14 +/-0%
Rotevägen 24,Radhus,Sävedalen,Partille,yes,Lagfart,2025-04-17,2025,4,5550000,,,,191.0,,6.0,236.0,29100.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,Lagfart Rotevägen 24 Radhus · Sävedalen · Partille 5 550 000 kr 191 m² 6 rum 236 m² tomt 29 100 kr/m² 2025-04-17
Idas väg 6A,Kedjehus,Partille kommun,Partille,no,Slutpris,2025-09-10,2025,9,2996000,2946000.0,50000.0,1.7,136.0,,6.0,289.0,29100.0,1.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"Gå till innehåll Gå till sök Sök bostad Värdera Hitta mäklare Mäklarmatchning Sök mäklare Mäklarbyråer Sälja bostad på Booli Skaffa kunskap Till salu 58 Slutpris 5 268 Nyproduktion 4 Partille kommun 0 sökförslag visas. Sökfilter 2 Visa karta Slutpriser för hus i Partille kommun Säljdatum — Lagfart Idas väg 6A Kedjehus · Partille kommun · Partille 2 996 000 kr 289 m² tomt 2025-09-10 — Lagfart Idas väg 4B Kedjehus · Partille kommun · Partille 2 996 000 kr 299 m² tomt 2025-09-10 +1,7% Lagfart Vällingbacken 30 Villa · Kåbäcken · Partille 4 525 000 kr 136 m² 6 rum 541 m² tomt 33 300 kr/m² 2025-07-09 — Lagfart Storegården 63 Parhus · Öjersjö · Partille 5 620 000 kr 118 m² 5 rum 179 m² tomt 47 600 kr/m² 2025-06-24 +/-0% Lagfart Sjätte Villavägen 6 Villa · Puketorp · Partille 5 500 000 kr 105 + 105 m² 5 rum 719 m² tomt 52 400 kr/m² 2025-04-19 +/-0% Lagfart Sörlyckan 29 Radhus · Södra Sävedalen · Partille 5 975 000 kr 115 m² 157 m² tomt 52 000 kr/m² 2025-04-23 -7,6% Lagfart Edgångsvägen 21 Villa · Skulltorp · Partille 6 000 000 kr 161 + 35 m² 6 rum 652 m² tomt 37 300 kr/m² Eldstad 2025-07-21 — Lagfart Lidegårdsvägen 9 Kedjehus · Partille kommun · Partille 5 000 000 kr 169 m² 424 m² tomt 29 600 kr/m² 2025-09-05 — Lagfart Ulvåsvägen 11 Kedjehus · Partille kommun · Partille 5 400 000 kr 135 + 10 m² 455 m² tomt 40 000 kr/m² 2025-09-05 — Lagfart Brase-Emmas väg 32 Villa · Partille kommun · Partille 4 100 000 kr 650 m² tomt 2025-09-05 +2,6% Lagfart Föreningsvägen 3 Villa · Sävedalen · Partille 8 850 000 kr 175 + 102 m² 7 rum 1 008 m² tomt 50 600 kr/m² 2025-05-21 +17,1% Lagfart Ugglebäcksliden 8 Villa · Öjersjö · Partille 12 000 000 kr 170 + 39 m² 6 rum 1 046 m² tomt 70 600 kr/m² Balkong Eldstad 2025-03-30 — Lagfart Furuliden 6A Villa · Sävedalen · Partille 7 700 000 kr 126 + 37 m² 6 rum 680 m² tomt 61 100 kr/m² 2025-06-11 +6,7% Lagfart Rävstigen 18 Villa · Öjersjö · Partille 12 000 000 kr 200 m² 5 rum 1 172 m² tomt 60 000 kr/m² 2025-05-19 — Lagfart Karis Lycka 3 Villa · Öjersjö · Partille 6 920 000 kr 105 m² 5 rum 2 280 m² tomt 65 900 kr/m² Eldstad 2025-05-10 +1,8% Lagfart Första Villavägen 11 Villa · Puketorp · Partille 7 000 000 kr 125 + 65 m² 6 rum 652 m² tomt 56 000 kr/m² Eldstad Uteplats 2025-05-07 -2,8% Lagfart Skogsduvevägen 26 Radhus · Furulund · Partille 5 200 000 kr 144 m² 5 rum 317 m² tomt 36 100 kr/m² 2025-05-02 -3,6% Lagfart Jennyhillsvägen 3E Radhus · Mellby · Partille 4 620 000 kr 121 + 2 m² 6 rum 173 m² tomt 38 200 kr/m² 2025-04-18 — Lagfart Blankavägen 16 Villa · Partille kommun · Partille 8 200 000 kr 114 + 70 m² 667 m² tomt 71 900 kr/m² 2025-09-01 — Lagfart Södra Hagevägen 18 Villa · Härlanda · Partille 8 800 000 kr 154 + 8 m² 5 rum 927 m² tomt 57 100 kr/m² Balkong 2025-06-11 — Lagfart Femte Villavägen 6 Villa · Partille kommun · Partille 8 035 000 kr 122 + 120 m² 5 rum 708 m² tomt 65 900 kr/m² 2025-08-29 Går du i säljtankar? Med vår matchningstjänst kan du gratis hitta en mäklare som är expert på just ditt område och din bostad. -9,3% Slutpris Hubertusvägen 11D Radhus · Partille Centrum · Partille 3 350 000 kr 74 + 36 m² 4 rum 45 300 kr/m² Eldstad Uteplats 2025-08-28 — Lagfart Kvastekullavägen 18A Villa · Partille kommun · Partille 6 150 000 kr 75 + 45 m² 1 265 m² tomt 82 000 kr/m² 2025-08-28 — Slutpris Friggavägen 14 Villa · Sävedalen · Partille 8 300 000 kr 148 + 32 m² 6 rum 1 292 m² tomt 56 100 kr/m² Eldstad 2025-08-25 +2,2% Slutpris Gullringsvägen 31 Villa · Ugglum · Partille 7 150 000 kr 104 + 65 m² 7 rum 835 m² tomt 68 800 kr/m² 2025-08-21 — Lagfart Skogsduvevägen 38 Villa · Partille kommun · Partille 2 900 000 kr 58 + 54 m² 1 018 m² tomt 50 000 kr/m² 2025-08-21 -2,7% Lagfart Korsängen 39 Radhus · Sävedalen · Partille 5 350 000 kr 117 + 30 m² 5 rum 148 m² tomt 45 700 kr/m² Uteplats 2025-05-13 +8,5% Lagfart Stensvägen 18 Villa · Sävedalen · Partille 8 575 000 kr 195 + 90 m² 8 rum 895 m² tomt 44 000 kr/m² 2025-04-10 — Lagfart Kullegärdet 52 Radhus · Södra Sävedalen · Partille 5 800 000 kr 132 m² 5 rum 175 m² tomt 43 900 kr/m² Uteplats 2025-04-30 +6,8% Lagfart Morkullesträcket 79 Parhus · Furulund · Partille 5 550 000 kr 121 + 20 m² 6 rum 300 m² tomt 45 900 kr/m² Balkong 2025-04-16 +1,3% Slutpris Adress saknas Villa · Sävedalen · Partille 7 600 000 kr 149 + 74 m² 7 rum 983 m² tomt 51 000 kr/m² Uteplats 2025-08-15 -4,2% Slutpris Fägatan 4 Radhus · Öjersjö · Partille 4 500 000 kr 122,6 m² 5 rum 36 700 kr/m² Uteplats 2025-08-15 — Lagfart Skulebergsvägen 31B Villa · Furuskog · Partille 8 500 000 kr 190 + 40 m² 7 rum 990 m² tomt 44 700 kr/m² Balkong 2025-05-07 -0,9% Lagfart Ensittarevägen 23 Villa · Furuskog · Partille 5 150 000 kr 161 m² 7 rum 485 m² tomt 32 000 kr/m² Uteplats 2025-05-14 +/-0% Lagfart Rotevägen 24 Radhus · Sävedalen · Partille 5 550 000 kr 191 m² 6 rum 236 m² tomt 29 100 kr/m² 2025-04-17 Cecilia, produktägare Vad tycker du om vår karta? 5 268 slutpriser för bostäder. Läs mer om Partille Slutpris för villor, kedjehus, parhus och radhus i Partille Partille kommun är ett område i Västra Götalands län. De senaste två månaderna har det kommit in 104 slutpriser/lagfarter för villor, kedjehus, parhus och radhus i Partille kommun till Booli. Informationen bygger på lagfarter från Lantmäteriet, mäklarrapporterade slutpriser och sista bud. Mer information om vad slutpriser är finns här . I Partille kommun är snittutropspriset 3 837 900 kr . Det tar 37 dagar i genomsnitt att sälja en bostad och 40 säljare har valt att sänka sitt utropspris i Partille kommun. Du kan även söka på slutpriser för bostäder i Partille kommun eller slutpriser för lägenheter i Partille kommun . Hitta fler slutpriser för villor, kedjehus, parhus och radhus i Orust , slutpriser för villor, kedjehus, parhus och radhus i Sotenäs , slutpriser för villor, kedjehus, parhus och radhus i Stenungsund och slutpriser för villor, kedjehus, parhus och radhus i Härryda . Visar sida 9 av 151 7 8 9 10 11 Föregående sida Nästa sida Mäklare i området Annons Nyproduktion till salu Annons Planerad nyproduktion Tjänster Bostadssök Bostadsvärdering Kunskap Räntekartan Booli Pro Bannerannonsering För mäklare Sälja bostad Mäklare i Stockholm Mäklare i Göteborg Mäklare i Malmö Alla mäklarbyråer Alla mäklare Mäklararvoden Mäklarmatchning Om oss Om Booli Press Jobba här Kontakt Vanliga frågor Integritet Användarvillkor Integritetspolicy Om GDPR Cookies Cookieinställningar Ladda ned Google Play App Store Booli är en bostadssajt och en mäklarguide där du hittar Sveriges största samlade utbud av bostäder till salu, slutpriser och värderar din bostad. Vi är en del av SBAB:s trygga och enkla tjänster för bolån och boendeekonomi. Ansvarig utgivare: Sebastian Wickert. © 2026 Booli Search Technologies AB."
Idas väg 6A,Kedjehus,Partille kommun,Partille,no,Lagfart,2025-09-10,2025,9,2996000,2946000.0,50000.0,1.7,136.0,,6.0,289.0,29100.0,1.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=9,"— Lagfart Idas väg 6A Kedjehus · Partille kommun · Partille 2 996 000 kr 289 m² tomt 2025-09-10 — Lagfart Idas väg 4B Kedjehus · Partille kommun · Partille 2 996 000 kr 299 m² tomt 2025-09-10 +1,7% Lagfart Vällingbacken 30 Villa · Kåbäcken · Partille 4 525 000 kr 136 m² 6 rum 541 m² tomt 33 300 kr/m² 2025-07-09 — Lagfart Storegården 63 Parhus · Öjersjö · Partille 5 620 000 kr 118 m² 5 rum 179 m² tomt 47 600 kr/m² 2025-06-24 +/-0% Lagfart Sjätte Villavägen 6 Villa · Puketorp · Partille 5 500 000 kr 105 + 105 m² 5 rum 719 m² tomt 52 400 kr/m² 2025-04-19 +/-0% Lagfart Sörlyckan 29 Radhus · Södra Sävedalen · Partille 5 975 000 kr 115 m² 157 m² tomt 52 000 kr/m² 2025-04-23 -7,6% Lagfart Edgångsvägen 21 Villa · Skulltorp · Partille 6 000 000 kr 161 + 35 m² 6 rum 652 m² tomt 37 300 kr/m² Eldstad 2025-07-21 — Lagfart Lidegårdsvägen 9 Kedjehus · Partille kommun · Partille 5 000 000 kr 169 m² 424 m² tomt 29 600 kr/m² 2025-09-05 — Lagfart Ulvåsvägen 11 Kedjehus · Partille kommun · Partille 5 400 000 kr 135 + 10 m² 455 m² tomt 40 000 kr/m² 2025-09-05 — Lagfart Brase-Emmas väg 32 Villa · Partille kommun · Partille 4 100 000 kr 650 m² tomt 2025-09-05 +2,6% Lagfart Föreningsvägen 3 Villa · Sävedalen · Partille 8 850 000 kr 175 + 102 m² 7 rum 1 008 m² tomt 50 600 kr/m² 2025-05-21 +17,1% Lagfart Ugglebäcksliden 8 Villa · Öjersjö · Partille 12 000 000 kr 170 + 39 m² 6 rum 1 046 m² tomt 70 600 kr/m² Balkong Eldstad 2025-03-30 — Lagfart Furuliden 6A Villa · Sävedalen · Partille 7 700 000 kr 126 + 37 m² 6 rum 680 m² tomt 61 100 kr/m² 2025-06-11 +6,7% Lagfart Rävstigen 18 Villa · Öjersjö · Partille 12 000 000 kr 200 m² 5 rum 1 172 m² tomt 60 000 kr/m² 2025-05-19 — Lagfart Karis Lycka 3 Villa · Öjersjö · Partille 6 920 000 kr 105 m² 5 rum 2 280 m² tomt 65 900 kr/m² Eldstad 2025-05-10 +1,8% Lagfart Första Villavägen 11 Villa · Puketorp · Partille 7 000 000 kr 125 + 65 m² 6 rum 652 m² tomt 56 000 kr/m² Eldstad Uteplats 2025-05-07 -2,8% Lagfart Skogsduvevägen 26 Radhus · Furulund · Partille 5 200 000 kr 144 m² 5 rum 317 m² tomt 36 100 kr/m² 2025-05-02 -3,6% Lagfart Jennyhillsvägen 3E Radhus · Mellby · Partille 4 620 000 kr 121 + 2 m² 6 rum 173 m² tomt 38 200 kr/m² 2025-04-18 — Lagfart Blankavägen 16 Villa · Partille kommun · Partille 8 200 000 kr 114 + 70 m² 667 m² tomt 71 900 kr/m² 2025-09-01 — Lagfart Södra Hagevägen 18 Villa · Härlanda · Partille 8 800 000 kr 154 + 8 m² 5 rum 927 m² tomt 57 100 kr/m² Balkong 2025-06-11 — Lagfart Femte Villavägen 6 Villa · Partille kommun · Partille 8 035 000 kr 122 + 120 m² 5 rum 708 m² tomt 65 900 kr/m² 2025-08-29 Går du i säljtankar? Med vår matchningstjänst kan du gratis hitta en mäklare som är expert på just ditt område och din bostad. -9,3% Slutpris Hubertusvägen 11D Radhus · Partille Centrum · Partille 3 350 000 kr 74 + 36 m² 4 rum 45 300 kr/m² Eldstad Uteplats 2025-08-28 — Lagfart Kvastekullavägen 18A Villa · Partille kommun · Partille 6 150 000 kr 75 + 45 m² 1 265 m² tomt 82 000 kr/m² 2025-08-28 — Slutpris Friggavägen 14 Villa · Sävedalen · Partille 8 300 000 kr 148 + 32 m² 6 rum 1 292 m² tomt 56 100 kr/m² Eldstad 2025-08-25 +2,2% Slutpris Gullringsvägen 31 Villa · Ugglum · Partille 7 150 000 kr 104 + 65 m² 7 rum 835 m² tomt 68 800 kr/m² 2025-08-21 — Lagfart Skogsduvevägen 38 Villa · Partille kommun · Partille 2 900 000 kr 58 + 54 m² 1 018 m² tomt 50 000 kr/m² 2025-08-21 -2,7% Lagfart Korsängen 39 Radhus · Sävedalen · Partille 5 350 000 kr 117 + 30 m² 5 rum 148 m² tomt 45 700 kr/m² Uteplats 2025-05-13 +8,5% Lagfart Stensvägen 18 Villa · Sävedalen · Partille 8 575 000 kr 195 + 90 m² 8 rum 895 m² tomt 44 000 kr/m² 2025-04-10 — Lagfart Kullegärdet 52 Radhus · Södra Sävedalen · Partille 5 800 000 kr 132 m² 5 rum 175 m² tomt 43 900 kr/m² Uteplats 2025-04-30 +6,8% Lagfart Morkullesträcket 79 Parhus · Furulund · Partille 5 550 000 kr 121 + 20 m² 6 rum 300 m² tomt 45 900 kr/m² Balkong 2025-04-16 +1,3% Slutpris Adress saknas Villa · Sävedalen · Partille 7 600 000 kr 149 + 74 m² 7 rum 983 m² tomt 51 000 kr/m² Uteplats 2025-08-15 -4,2% Slutpris Fägatan 4 Radhus · Öjersjö · Partille 4 500 000 kr 122,6 m² 5 rum 36 700 kr/m² Uteplats 2025-08-15 — Lagfart Skulebergsvägen 31B Villa · Furuskog · Partille 8 500 000 kr 190 + 40 m² 7 rum 990 m² tomt 44 700 kr/m² Balkong 2025-05-07 -0,9% Lagfart Ensittarevägen 23 Villa · Furuskog · Partille 5 150 000 kr 161 m² 7 rum 485 m² tomt 32 000 kr/m² Uteplats 2025-05-14 +/-0% Lagfart Rotevägen 24 Radhus · Sävedalen · Partille 5 550 000 kr 191 m² 6 rum 236 m² tomt 29 100 kr/m² 2025-04-17"
Mellbyvägen 24C,Villa,Mellby,Partille,no,Lagfart,2025-03-27,2025,3,4825000,,,,117.0,6.0,4.0,207.0,41200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=10,Lagfart Mellbyvägen 24C Villa · Mellby · Partille 4 825 000 kr 117 + 6 m² 4 rum 207 m² tomt 41 200 kr/m² Uteplats 2025-03-27
Bykällevägen 108,Villa,Kåhög,Partille,no,Lagfart,2025-05-16,2025,5,6350000,,,,157.0,15.0,6.0,1001.0,40400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=10,Lagfart Bykällevägen 108 Villa · Kåhög · Partille 6 350 000 kr 157 + 15 m² 6 rum 1 001 m² tomt 40 400 kr/m² Uteplats 2025-05-16
